Gender,Height,Outlier,FatherHeight, Outlier,Is Cell Empty,MotherHeight,Outlier,Is Cell Empty,Weight,Is Cell Empty,AttractivenessDifferent,Is Cell Empty,AttractivenessSame,Is Cell Empty,Female Q1,Female Q3 ,Female IQR,F Upper Bound,F lower Bound,,,,,,,
1,188,FALSE,177,FALSE,FALSE,168,FALSE,FALSE,72,FALSE,7.5,FALSE,5,FALSE,,,,,,,188,72,2.274157849,1.857332496,7.5,5
1,187,FALSE,191,FALSE,FALSE,166,FALSE,FALSE,79,FALSE,10,FALSE,,TRUE,,,,,,,187,79,2.271841607,1.897627091,10,
1,173,FALSE,170,FALSE,FALSE,165,FALSE,FALSE,70,FALSE,5,FALSE,5,FALSE,,,,,,,173,70,2.238046103,1.84509804,5,5
1,175,FALSE,171,FALSE,FALSE,173,FALSE,FALSE,74,FALSE,6,FALSE,6,FALSE,,,,,,,175,74,2.243038049,1.86923172,6,6
1,181,FALSE,183,FALSE,FALSE,160,FALSE,FALSE,85,FALSE,10,FALSE,1,FALSE,,,,,,,181,85,2.257678575,1.929418926,10,1
1,189,FALSE,179,FALSE,FALSE,184,TRUE,FALSE,90,FALSE,7,FALSE,8,FALSE,,,,,,,189,90,2.276461804,1.954242509,7,8
1,165,FALSE,160,TRUE,FALSE,156,FALSE,FALSE,50,FALSE,6,FALSE,5,FALSE,,,,,,,165,50,2.217483944,1.698970004,6,5
1,174,FALSE,169,FALSE,FALSE,157,FALSE,FALSE,74,FALSE,6,FALSE,5,FALSE,,,,,,,174,74,2.240549248,1.86923172,6,5
1,185,FALSE,180,FALSE,FALSE,176,FALSE,FALSE,75,FALSE,7,FALSE,4,FALSE,,,,,,,185,75,2.267171728,1.875061263,7,4
1,188,FALSE,179,FALSE,FALSE,163,FALSE,FALSE,75,FALSE,6,FALSE,7,FALSE,,,,,,,188,75,2.274157849,1.875061263,6,7
1,166,FALSE,156,TRUE,FALSE,156,FALSE,FALSE,57,FALSE,6,FALSE,7,FALSE,,,,,,,166,57,2.220108088,1.755874856,6,7
1,184,FALSE,175,FALSE,FALSE,168,FALSE,FALSE,68,FALSE,7,FALSE,7,FALSE,,,,,,,184,68,2.264817823,1.832508913,7,7
1,186,FALSE,176,FALSE,FALSE,170,FALSE,FALSE,88,FALSE,,TRUE,,TRUE,,,,,,,186,88,2.269512944,1.944482672,,
1,178,FALSE,185,FALSE,FALSE,170,FALSE,FALSE,60,FALSE,7,FALSE,8,FALSE,,,,,,,178,60,2.250420002,1.77815125,7,8
1,182.5,FALSE,174,FALSE,FALSE,162,FALSE,FALSE,95,FALSE,10,FALSE,,TRUE,,,,,,,182.5,95,2.261262869,1.977723605,10,
1,180,FALSE,175,FALSE,FALSE,165,FALSE,FALSE,91,FALSE,9,FALSE,8,FALSE,,,,,,,180,91,2.255272505,1.959041392,9,8
1,168,FALSE,163,FALSE,FALSE,161,FALSE,FALSE,78,FALSE,5,FALSE,5,FALSE,,,,,,,168,78,2.225309282,1.892094603,5,5
1,186,FALSE,184,FALSE,FALSE,165,FALSE,FALSE,70,FALSE,5,FALSE,5,FALSE,,,,,,,186,70,2.269512944,1.84509804,5,5
1,187,FALSE,182,FALSE,FALSE,170,FALSE,FALSE,85,FALSE,7,FALSE,7,FALSE,,,,,,,187,85,2.271841607,1.929418926,7,7
1,182,FALSE,175,FALSE,FALSE,160,FALSE,FALSE,83,FALSE,7,FALSE,7,FALSE,,,,,,,182,83,2.260071388,1.919078092,7,7
1,177,FALSE,172,FALSE,FALSE,168,FALSE,FALSE,95,FALSE,3,FALSE,3,FALSE,,,,,,,177,95,2.247973266,1.977723605,3,3
1,184,FALSE,179,FALSE,FALSE,177,FALSE,FALSE,76,FALSE,7,FALSE,8,FALSE,,,,,,,184,76,2.264817823,1.880813592,7,8
1,180,FALSE,167,FALSE,FALSE,168,FALSE,FALSE,60.15,FALSE,5,FALSE,5,FALSE,,,,,,,180,60.15,2.255272505,1.779235632,5,5
1,172,FALSE,182,FALSE,FALSE,160,FALSE,FALSE,80,FALSE,9,FALSE,1,FALSE,,,,,,,172,80,2.235528447,1.903089987,9,1
1,170,FALSE,185,FALSE,FALSE,156,FALSE,FALSE,54,FALSE,6,FALSE,6,FALSE,,,,,,,170,54,2.230448921,1.73239376,6,6
1,185,FALSE,190,FALSE,FALSE,165,FALSE,FALSE,73,FALSE,7,FALSE,7,FALSE,,,,,,,185,73,2.267171728,1.86332286,7,7
1,192,FALSE,185,FALSE,FALSE,170,FALSE,FALSE,83,FALSE,8,FALSE,8,FALSE,,,,,,,192,83,2.283301229,1.919078092,8,8
1,175,FALSE,175,FALSE,FALSE,165,FALSE,FALSE,70,FALSE,7,FALSE,5,FALSE,,,,,,,175,70,2.243038049,1.84509804,7,5
1,189,FALSE,178,FALSE,FALSE,168,FALSE,FALSE,75,FALSE,10,FALSE,1,FALSE,,,,,,,189,75,2.276461804,1.875061263,10,1
1,184,FALSE,168,FALSE,FALSE,163,FALSE,FALSE,81,FALSE,8,FALSE,7,FALSE,,,,,,,184,81,2.264817823,1.908485019,8,7
1,187,FALSE,180,FALSE,FALSE,182,TRUE,FALSE,61,FALSE,7,FALSE,7,FALSE,,,,,,,187,61,2.271841607,1.785329835,7,7
1,173,FALSE,167,FALSE,FALSE,162,FALSE,FALSE,64,FALSE,5,FALSE,3,FALSE,,,,,,,173,64,2.238046103,1.806179974,5,3
1,184,FALSE,175,FALSE,FALSE,160,FALSE,FALSE,80,FALSE,7,FALSE,5,FALSE,,,,,,,184,80,2.264817823,1.903089987,7,5
1,188,FALSE,186,FALSE,FALSE,157,FALSE,FALSE,70,FALSE,7,FALSE,8,FALSE,,,,,,,188,70,2.274157849,1.84509804,7,8
1,182,FALSE,170,FALSE,FALSE,163,FALSE,FALSE,75,FALSE,10,FALSE,10,FALSE,,,,,,,182,75,2.260071388,1.875061263,10,10
1,174,FALSE,165,FALSE,FALSE,165,FALSE,FALSE,67,FALSE,10,FALSE,,TRUE,,,,,,,174,67,2.240549248,1.826074803,10,
1,174,FALSE,174,FALSE,FALSE,161,FALSE,FALSE,59,FALSE,6,FALSE,6,FALSE,,,,,,,174,59,2.240549248,1.770852012,6,6
1,188,FALSE,179,FALSE,FALSE,168,FALSE,FALSE,82,FALSE,10,FALSE,,TRUE,,,,,,,188,82,2.274157849,1.913813852,10,
1,187,FALSE,194,FALSE,FALSE,176,FALSE,FALSE,85,FALSE,8,FALSE,8,FALSE,,,,,,,187,85,2.271841607,1.929418926,8,8
1,183,FALSE,180,FALSE,FALSE,158,FALSE,FALSE,89,FALSE,8,FALSE,7,FALSE,,,,,,,183,89,2.26245109,1.949390007,8,7
1,202,FALSE,182,FALSE,FALSE,163,FALSE,FALSE,92,FALSE,7,FALSE,8,FALSE,,,,,,,202,92,2.305351369,1.963787827,7,8
Min,158,0,156,,0,142,,0,48,0,1,0,1,,,,,,,,,,,,,
Max,202,0,194,,0,184,,0,115,0,10,0,10,,,,,,,,,,,,,
Median,178.5,#NUM!,178,,#NUM!,165,,#NUM!,72.5,#NUM!,7,#NUM!,7,,,,,,,,,,,,,
Mean,177.76875,#DIV/0!,177.5443038,,#DIV/0!,164.5875,,#DIV/0!,72.056875,#DIV/0!,7.044303797,#DIV/0!,6.236486486,,,,,,,,,,,,,
S.D.,9.185136504,#DIV/0!,7.722424006,,#DIV/0!,7.358270556,,#DIV/0!,13.48356887,#DIV/0!,1.765389972,#DIV/0!,2.094060375,,,,,,,,,,,,,
F Min,158,0,164,,0,150,,0,48,0,4,0,4,,,,,,,,,,,,,
F Max,177,0,186,,0,177,,0,85,0,9,0,8,,,,,,,,,,,,,
F Median,167,#NUM!,180,,#NUM!,165,,#NUM!,58,#NUM!,7,#NUM!,7,,,,,,,,,,,,,
F Mean,167,#DIV/0!,178.1666667,,#DIV/0!,164.7222222,,#DIV/0!,59.38888889,#DIV/0!,6.722222222,#DIV/0!,6.722222222,,,,,,,,,,,,,
F S.D.,4.311407577,#DIV/0!,6.749727663,,#DIV/0!,7.513169266,,#DIV/0!,9.306157916,#DIV/0!,1.178511302,#DIV/0!,1.319784098,,,,,,,,,,,,,
M Min,165,0,156,,0,142,,0,50,0,1,0,1,,,,,,,,,,,,,
M Max,202,0,194,,0,184,,0,115,0,10,0,10,,,,,,,,,,,,,
M Median,182.25,#NUM!,178,,#NUM!,165,,#NUM!,75,#NUM!,7,#NUM!,6.5,,,,,,,,,,,,,
M Mean,180.8951613,#DIV/0!,177.3606557,,#DIV/0!,164.5483871,,#DIV/0!,75.73467742,#DIV/0!,7.139344262,#DIV/0!,6.080357143,,,,,,,,,,,,,
M S.D.,7.741275945,#DIV/0!,8.029181749,,#DIV/0!,7.374473961,,#DIV/0!,12.25629176,#DIV/0!,1.902040894,#DIV/0!,2.275914972,,,,,,,,,,,,,
